person_id,classification,behavior_type,start_frame,end_frame,video_time_sec,suspicious_frames,alert_frames,timestamp
1,Confirmed Suspicious,UNKNOWN,2,6,0.2,3,0,2026-01-04 18:18:20
5,Confirmed Suspicious,UNKNOWN,2,6,0.2,3,0,2026-01-04 18:18:20
3,Confirmed Suspicious,UNKNOWN,24,28,0.93,3,0,2026-01-04 18:18:20
8,Confirmed Suspicious,UNKNOWN,46,50,1.67,3,0,2026-01-04 18:18:21
4,Confirmed Suspicious,UNKNOWN,52,56,1.87,3,0,2026-01-04 18:18:21
9,Confirmed Suspicious,UNKNOWN,52,56,1.87,3,0,2026-01-04 18:18:21
10,Confirmed Suspicious,UNKNOWN,52,56,1.87,3,0,2026-01-04 18:18:21
7,Confirmed Suspicious,UNKNOWN,58,66,2.2,3,0,2026-01-04 18:18:21
12,Confirmed Suspicious,UNKNOWN,64,68,2.27,3,0,2026-01-04 18:18:21
13,Confirmed Suspicious,UNKNOWN,86,88,2.93,0,2,2026-01-04 18:18:22
14,Confirmed Suspicious,UNKNOWN,86,88,2.93,0,2,2026-01-04 18:18:22
16,Confirmed Suspicious,UNKNOWN,108,110,3.67,0,2,2026-01-04 18:18:22
5,Confirmed Suspicious,UNKNOWN,130,160,5.33,3,0,2026-01-04 18:18:23
18,Confirmed Suspicious,UNKNOWN,186,188,6.27,0,2,2026-01-04 18:18:24
19,Confirmed Suspicious,UNKNOWN,200,202,6.73,0,2,2026-01-04 18:18:24
24,Confirmed Suspicious,UNKNOWN,246,248,8.27,0,2,2026-01-04 18:18:26
26,Confirmed Suspicious,UNKNOWN,256,258,8.6,0,2,2026-01-04 18:18:26
4,Confirmed Suspicious,UNKNOWN,228,272,9.07,2,2,2026-01-04 18:18:27
29,Confirmed Suspicious,UNKNOWN,316,318,10.6,0,2,2026-01-04 18:18:28
24,Confirmed Suspicious,UNKNOWN,332,336,11.2,3,0,2026-01-04 18:18:29
30,Confirmed Suspicious,UNKNOWN,340,342,11.4,0,2,2026-01-04 18:18:29
24,Confirmed Suspicious,UNKNOWN,384,386,12.87,0,2,2026-01-04 18:18:31
36,Confirmed Suspicious,UNKNOWN,420,422,14.07,0,2,2026-01-04 18:18:32
30,Confirmed Suspicious,UNKNOWN,430,432,14.4,0,2,2026-01-04 18:18:33
1,Confirmed Suspicious,UNKNOWN,476,478,15.93,0,2,2026-01-04 18:18:34
37,Confirmed Suspicious,UNKNOWN,506,508,16.93,0,2,2026-01-04 18:18:34
4,Confirmed Suspicious,UNKNOWN,506,508,16.93,0,2,2026-01-04 18:18:34
39,Confirmed Suspicious,UNKNOWN,604,608,20.27,3,0,2026-01-04 18:18:36
41,Confirmed Suspicious,UNKNOWN,740,744,24.8,3,0,2026-01-04 18:18:39
45,Confirmed Suspicious,UNKNOWN,784,790,26.33,3,1,2026-01-04 18:18:40
47,Confirmed Suspicious,UNKNOWN,812,816,27.2,1,2,2026-01-04 18:18:40
41,Confirmed Suspicious,UNKNOWN,814,816,27.2,0,2,2026-01-04 18:18:40
52,Confirmed Suspicious,UNKNOWN,846,850,28.33,3,0,2026-01-04 18:18:41
56,Confirmed Suspicious,UNKNOWN,860,862,28.73,0,2,2026-01-04 18:18:41
44,Confirmed Suspicious,UNKNOWN,876,880,29.33,3,0,2026-01-04 18:18:41
57,Confirmed Suspicious,UNKNOWN,876,882,29.4,3,1,2026-01-04 18:18:41
59,Confirmed Suspicious,UNKNOWN,890,892,29.73,0,2,2026-01-04 18:18:41
37,Confirmed Suspicious,UNKNOWN,900,904,30.13,3,0,2026-01-04 18:18:41
65,Confirmed Suspicious,UNKNOWN,928,934,31.13,3,1,2026-01-04 18:18:42
71,Confirmed Suspicious,UNKNOWN,940,944,31.47,3,0,2026-01-04 18:18:42
72,Confirmed Suspicious,UNKNOWN,946,950,31.67,3,0,2026-01-04 18:18:42
59,Confirmed Suspicious,UNKNOWN,956,960,32.0,3,0,2026-01-04 18:18:42
67,Confirmed Suspicious,UNKNOWN,976,978,32.6,0,2,2026-01-04 18:18:43
2,Confirmed Suspicious,UNKNOWN,908,980,32.67,3,1,2026-01-04 18:18:43
84,Confirmed Suspicious,UNKNOWN,976,980,32.67,1,2,2026-01-04 18:18:43
85,Confirmed Suspicious,UNKNOWN,976,980,32.67,3,0,2026-01-04 18:18:43
79,Confirmed Suspicious,UNKNOWN,980,986,32.87,3,1,2026-01-04 18:18:43
2,Confirmed Suspicious,UNKNOWN,1024,1028,34.27,3,0,2026-01-04 18:18:44
93,Confirmed Suspicious,UNKNOWN,1042,1046,34.87,3,0,2026-01-04 18:18:44
97,Confirmed Suspicious,UNKNOWN,1100,1106,36.87,2,2,2026-01-04 18:18:45
96,Confirmed Suspicious,UNKNOWN,1152,1156,38.53,3,0,2026-01-04 18:18:46
71,Confirmed Suspicious,UNKNOWN,1174,1178,39.27,3,0,2026-01-04 18:18:47
103,Confirmed Suspicious,UNKNOWN,1174,1178,39.27,3,0,2026-01-04 18:18:47
84,Confirmed Suspicious,RUN,1020,1234,41.13,3,0,2026-01-04 18:18:48
71,Confirmed Suspicious,UNKNOWN,1348,1352,45.07,3,0,2026-01-04 18:18:50
112,Confirmed Suspicious,UNKNOWN,1570,1574,52.47,3,0,2026-01-04 18:18:54
128,Confirmed Suspicious,UNKNOWN,1570,1574,52.47,3,0,2026-01-04 18:18:54
2,Confirmed Suspicious,RUN,133,135,4.5,3,0,2026-01-04 18:55:55
1,Confirmed Suspicious,RUN,125,143,4.77,3,0,2026-01-04 18:55:57
5,Confirmed Suspicious,UNKNOWN,29,31,1.03,3,0,2026-01-04 19:10:45
7,Confirmed Suspicious,UNKNOWN,29,31,1.03,3,0,2026-01-04 19:10:45
6,Confirmed Suspicious,UNKNOWN,30,32,1.07,3,0,2026-01-04 19:10:45
11,Confirmed Suspicious,UNKNOWN,30,32,1.07,3,0,2026-01-04 19:10:45
12,Confirmed Suspicious,UNKNOWN,32,33,1.1,0,2,2026-01-04 19:10:46
16,Confirmed Suspicious,UNKNOWN,45,47,1.57,3,0,2026-01-04 19:10:48
18,Confirmed Suspicious,UNKNOWN,51,53,1.77,3,0,2026-01-04 19:10:50
14,Confirmed Suspicious,FALL,52,54,1.8,3,0,2026-01-04 19:10:50
15,Confirmed Suspicious,FALL,52,54,1.8,3,0,2026-01-04 19:10:50
4,Confirmed Suspicious,FALL,59,61,2.03,3,0,2026-01-04 19:10:52
20,Confirmed Suspicious,UNKNOWN,75,77,2.57,3,0,2026-01-04 19:10:56
21,Confirmed Suspicious,UNKNOWN,81,82,2.73,0,2,2026-01-04 19:10:57
22,Confirmed Suspicious,UNKNOWN,87,88,2.93,0,2,2026-01-04 19:10:59
23,Confirmed Suspicious,UNKNOWN,102,107,3.57,3,0,2026-01-04 19:11:03
25,Confirmed Suspicious,FALL,178,180,6.0,1,2,2026-01-04 19:11:20
32,Confirmed Suspicious,UNKNOWN,184,186,6.2,3,0,2026-01-04 19:11:22
29,Confirmed Suspicious,UNKNOWN,193,195,6.5,3,0,2026-01-04 19:11:24
33,Confirmed Suspicious,UNKNOWN,193,195,6.5,3,0,2026-01-04 19:11:24
34,Confirmed Suspicious,UNKNOWN,214,215,7.17,0,2,2026-01-04 19:11:28
36,Confirmed Suspicious,UNKNOWN,243,244,8.13,0,2,2026-01-04 19:11:33
37,Confirmed Suspicious,RUN,21,28,0.93,3,0,2026-01-04 19:12:00
40,Confirmed Suspicious,FIGHT,32,33,1.1,0,2,2026-01-04 19:12:01
5,Confirmed Suspicious,UNKNOWN,29,31,1.03,3,0,2026-01-04 19:21:08
7,Confirmed Suspicious,UNKNOWN,29,31,1.03,3,0,2026-01-04 19:21:08
6,Confirmed Suspicious,UNKNOWN,30,32,1.07,3,0,2026-01-04 19:21:09
11,Confirmed Suspicious,UNKNOWN,30,32,1.07,3,0,2026-01-04 19:21:09
12,Confirmed Suspicious,UNKNOWN,32,33,1.1,0,2,2026-01-04 19:21:09
16,Confirmed Suspicious,UNKNOWN,45,47,1.57,3,0,2026-01-04 19:21:12
18,Confirmed Suspicious,UNKNOWN,51,53,1.77,3,0,2026-01-04 19:21:14
14,Confirmed Suspicious,FALL,52,54,1.8,3,0,2026-01-04 19:21:14
15,Confirmed Suspicious,FALL,52,54,1.8,3,0,2026-01-04 19:21:14
4,Confirmed Suspicious,FALL,59,61,2.03,3,0,2026-01-04 19:21:16
20,Confirmed Suspicious,UNKNOWN,75,77,2.57,3,0,2026-01-04 19:21:20
21,Confirmed Suspicious,UNKNOWN,81,82,2.73,0,2,2026-01-04 19:21:21
22,Confirmed Suspicious,UNKNOWN,87,88,2.93,0,2,2026-01-04 19:21:23
23,Confirmed Suspicious,UNKNOWN,102,107,3.57,3,0,2026-01-04 19:21:28
25,Confirmed Suspicious,FALL,178,180,6.0,1,2,2026-01-04 19:21:44
32,Confirmed Suspicious,UNKNOWN,184,186,6.2,3,0,2026-01-04 19:21:45
29,Confirmed Suspicious,UNKNOWN,193,195,6.5,3,0,2026-01-04 19:21:47
33,Confirmed Suspicious,UNKNOWN,193,195,6.5,3,0,2026-01-04 19:21:47
34,Confirmed Suspicious,UNKNOWN,214,215,7.17,0,2,2026-01-04 19:21:51
36,Confirmed Suspicious,UNKNOWN,243,244,8.13,0,2,2026-01-04 19:21:56
37,Confirmed Suspicious,UNKNOWN,252,253,8.43,0,2,2026-01-04 19:21:58
37,Confirmed Suspicious,UNKNOWN,282,283,9.43,0,2,2026-01-04 19:22:04
40,Confirmed Suspicious,UNKNOWN,308,309,10.3,0,2,2026-01-04 19:22:09
37,Confirmed Suspicious,UNKNOWN,309,310,10.33,0,2,2026-01-04 19:22:09
32,Confirmed Suspicious,UNKNOWN,342,343,11.43,0,2,2026-01-04 19:22:15
44,Confirmed Suspicious,UNKNOWN,343,345,11.5,3,0,2026-01-04 19:22:15
46,Confirmed Suspicious,FIGHT,9,13,0.43,2,2,2026-01-04 19:22:25
48,Confirmed Suspicious,UNKNOWN,12,15,0.5,3,0,2026-01-04 19:22:25
51,Confirmed Suspicious,UNKNOWN,40,46,1.53,3,0,2026-01-04 19:22:29
49,Confirmed Suspicious,UNKNOWN,45,47,1.57,3,0,2026-01-04 19:22:29
52,Confirmed Suspicious,RUN,130,132,4.4,3,0,2026-01-04 19:22:40
5,Confirmed Suspicious,UNKNOWN,29,31,1.03,3,0,2026-01-04 22:43:46
7,Confirmed Suspicious,UNKNOWN,29,31,1.03,3,0,2026-01-04 22:43:46
6,Confirmed Suspicious,UNKNOWN,30,32,1.07,3,0,2026-01-04 22:43:47
11,Confirmed Suspicious,UNKNOWN,30,32,1.07,3,0,2026-01-04 22:43:47
12,Confirmed Suspicious,UNKNOWN,32,33,1.1,0,2,2026-01-04 22:43:48
16,Confirmed Suspicious,UNKNOWN,45,47,1.57,3,0,2026-01-04 22:43:58
18,Confirmed Suspicious,UNKNOWN,51,53,1.77,3,0,2026-01-04 22:44:03
14,Confirmed Suspicious,FALL,52,54,1.8,3,0,2026-01-04 22:44:05
15,Confirmed Suspicious,FALL,52,54,1.8,3,0,2026-01-04 22:44:05
4,Confirmed Suspicious,FALL,59,61,2.03,3,0,2026-01-04 22:44:10
20,Confirmed Suspicious,UNKNOWN,75,77,2.57,3,0,2026-01-04 22:44:22
21,Confirmed Suspicious,UNKNOWN,81,82,2.73,0,2,2026-01-04 22:44:27
22,Confirmed Suspicious,UNKNOWN,87,88,2.93,0,2,2026-01-04 22:44:31
23,Confirmed Suspicious,UNKNOWN,102,107,3.57,3,0,2026-01-04 22:44:46
25,Confirmed Suspicious,FALL,170,172,5.73,1,2,2026-01-04 22:45:36
32,Confirmed Suspicious,UNKNOWN,176,178,5.93,3,0,2026-01-04 22:45:40
29,Confirmed Suspicious,UNKNOWN,185,187,6.23,3,0,2026-01-04 22:45:46
33,Confirmed Suspicious,UNKNOWN,185,187,6.23,3,0,2026-01-04 22:45:46
34,Confirmed Suspicious,UNKNOWN,206,207,6.9,0,2,2026-01-04 22:45:58
36,Confirmed Suspicious,UNKNOWN,235,236,7.87,0,2,2026-01-04 22:46:16
37,Confirmed Suspicious,UNKNOWN,244,245,8.17,0,2,2026-01-04 22:46:21
39,Confirmed Suspicious,RUN,60,63,2.1,3,0,2026-01-04 22:47:11
4,Confirmed Suspicious,UNKNOWN,9,11,0.37,3,0,2026-01-05 15:51:29
7,Confirmed Suspicious,UNKNOWN,9,11,0.37,3,0,2026-01-05 15:51:29
1,Confirmed Suspicious,UNKNOWN,29,31,1.03,3,0,2026-01-05 15:51:33
5,Confirmed Suspicious,UNKNOWN,29,31,1.03,3,0,2026-01-05 15:51:33
